"date","name","precip","lon","lat"
2019-06-01,"Beding",2.4,86.38,27.9
2019-06-01,"Dongang",15.8,86.29,27.9
2019-06-01,"Gongar",0.4,86.22,27.84
2019-06-01,"Na",1.8,86.43,27.88
2019-06-01,"Simigaun",1.4,86.23,27.87
2019-06-01,"Singati",5.8,86.16,27.74
2019-06-02,"Beding",8.2,86.38,27.9
2019-06-02,"Dongang",7.4,86.29,27.9
2019-06-02,"Gongar",21.2,86.22,27.84
2019-06-02,"Na",7.4,86.43,27.88
2019-06-02,"Simigaun",23.4,86.23,27.87
2019-06-02,"Singati",3,86.16,27.74
2019-06-03,"Beding",0.2,86.38,27.9
2019-06-03,"Dongang",4.4,86.29,27.9
2019-06-03,"Gongar",0,86.22,27.84
2019-06-03,"Na",0.6,86.43,27.88
2019-06-03,"Simigaun",0,86.23,27.87
2019-06-03,"Singati",0,86.16,27.74
2019-06-04,"Beding",0,86.38,27.9
2019-06-04,"Dongang",0,86.29,27.9
2019-06-04,"Gongar",0,86.22,27.84
2019-06-04,"Na",0,86.43,27.88
2019-06-04,"Simigaun",0,86.23,27.87
2019-06-04,"Singati",2.4,86.16,27.74
2019-06-05,"Beding",0,86.38,27.9
2019-06-05,"Dongang",0.4,86.29,27.9
2019-06-05,"Gongar",4.4,86.22,27.84
2019-06-05,"Na",0,86.43,27.88
2019-06-05,"Simigaun",0.2,86.23,27.87
2019-06-05,"Singati",27.8,86.16,27.74
2019-06-06,"Beding",0.2,86.38,27.9
2019-06-06,"Dongang",7,86.29,27.9
2019-06-06,"Gongar",2.6,86.22,27.84
2019-06-06,"Na",0,86.43,27.88
2019-06-06,"Simigaun",12.2,86.23,27.87
2019-06-06,"Singati",2,86.16,27.74
2019-06-07,"Beding",4.4,86.38,27.9
2019-06-07,"Dongang",5.4,86.29,27.9
2019-06-07,"Gongar",3.8,86.22,27.84
2019-06-07,"Na",5.2,86.43,27.88
2019-06-07,"Simigaun",6.4,86.23,27.87
2019-06-07,"Singati",3.4,86.16,27.74
2019-06-08,"Beding",0,86.38,27.9
2019-06-08,"Dongang",0,86.29,27.9
2019-06-08,"Gongar",0,86.22,27.84
2019-06-08,"Na",0,86.43,27.88
2019-06-08,"Simigaun",0,86.23,27.87
2019-06-08,"Singati",0.2,86.16,27.74
2019-06-09,"Beding",6.6,86.38,27.9
2019-06-09,"Dongang",11.6,86.29,27.9
2019-06-09,"Gongar",11.6,86.22,27.84
2019-06-09,"Na",2,86.43,27.88
2019-06-09,"Simigaun",9.8,86.23,27.87
2019-06-09,"Singati",13.2,86.16,27.74
2019-06-10,"Beding",3.2,86.38,27.9
2019-06-10,"Dongang",2.2,86.29,27.9
2019-06-10,"Gongar",1,86.22,27.84
2019-06-10,"Na",6.4,86.43,27.88
2019-06-10,"Simigaun",1,86.23,27.87
2019-06-10,"Singati",0,86.16,27.74
2019-06-11,"Beding",0,86.38,27.9
2019-06-11,"Dongang",0,86.29,27.9
2019-06-11,"Gongar",0,86.22,27.84
2019-06-11,"Na",0,86.43,27.88
2019-06-11,"Simigaun",0.2,86.23,27.87
2019-06-11,"Singati",0.2,86.16,27.74
2019-06-12,"Beding",0,86.38,27.9
2019-06-12,"Dongang",0,86.29,27.9
2019-06-12,"Gongar",0.2,86.22,27.84
2019-06-12,"Na",0,86.43,27.88
2019-06-12,"Simigaun",0,86.23,27.87
